,competition,year,team
988,WorldCup,2010,robosina
989,WorldCup,2010,shahedtech
990,WorldCup,2010,soccer
993,WorldCup,2010,united2010
994,WorldCup,2010,unknown09
995,WorldCup,2010,vanda2d10
997,WorldCup,2010,xenex
1040,WorldCup,2011,aboualisina
1042,WorldCup,2011,artsapience
1044,WorldCup,2011,dainamite
1045,WorldCup,2011,edinferno
1047,WorldCup,2011,fcportugal
1049,WorldCup,2011,hfutengine2011
1056,WorldCup,2011,wrighteagle
1094,WorldCup,2012,helios2012
1096,WorldCup,2012,mariik
1103,WorldCup,2012,uaisoccer2d
1139,WorldCup,2013,utaustinvilla
1140,WorldCup,2013,warthogrobotics
1163,WorldCup,2014,gpr
1190,WorldCup,2015,.rcl
1191,WorldCup,2015,cyrus2015
1194,WorldCup,2015,gpr
1202,WorldCup,2015,oxsy
1209,WorldCup,2015,ziziphus
1227,WorldCup,2016,fury
1244,WorldCup,2016,ziziphus
1267,WorldCup,2017,alice
1268,WorldCup,2017,cyrus
1269,WorldCup,2017,helios2017
1270,WorldCup,2017,hfutengine2017
1271,WorldCup,2017,hillstone
1272,WorldCup,2017,itandroids
1273,WorldCup,2017,mt2017
1274,WorldCup,2017,nexus2d
1275,WorldCup,2017,one
1276,WorldCup,2017,oxsy
1277,WorldCup,2017,persiangulf2017
1278,WorldCup,2017,storms
1279,WorldCup,2017,united
1280,WorldCup,2017,wit
1281,WorldCup,2017,yunlu
1282,WorldCup,2017,ziziphus
